u,v,key,osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,name,tunnel,junction,access,geometry
1485115771,1485115772,0,794561702,,False,2,,residential,,True,15.911,Cais da Fonte Nova,,,,"LINESTRING (-8.643409 40.6395395, -8.6433568 40.639677)"
1485115772,5217907856,0,686659370,,False,2,,residential,,True,10.236,Rua Carlos Silva Melo Guimarães,,,,"LINESTRING (-8.6433568 40.639677, -8.6433361 40.6397677)"
1485115772,1485115771,0,794561702,,False,2,,residential,,False,15.911,Cais da Fonte Nova,,,,"LINESTRING (-8.6433568 40.639677, -8.643409 40.6395395)"
1485115778,1485115752,0,135430896,,True,,,residential,,False,20.119,Rua Engenheiro Silvério Pereira da Silva,,,,"LINESTRING (-8.6478285 40.6414392, -8.647972 40.6412947)"
1485115782,1485115778,0,135430896,,True,,,residential,,False,11.03,Rua Engenheiro Silvério Pereira da Silva,,,,"LINESTRING (-8.6477744 40.6415295, -8.6478285 40.6414392)"
1485115785,1237293056,0,30008037,,True,,,residential,,False,15.912,Praça do Mercado,,,,"LINESTRING (-8.6480978 40.6411919, -8.648258 40.6412674)"
1485115785,4970288959,0,146634192,,False,,,residential,,False,69.068,Largo do Mercado,,,,"LINESTRING (-8.6480978 40.6411919, -8.647422 40.6408414)"
1485136383,392954253,0,850328478,,True,2,,secondary,50,False,8.616,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6460549 40.6422159, -8.64613 40.6422684)"
1485136386,1485136387,0,850328478,,True,2,,secondary,50,False,37.302,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6455463 40.6421418, -8.6459812 40.6422021)"
1485136387,1485136383,0,850328478,,True,2,,secondary,50,False,6.405,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6459812 40.6422021, -8.6460549 40.6422159)"
1485136388,1485136386,0,850328478,,True,2,,secondary,50,False,30.948,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6451864 40.6420881, -8.6455463 40.6421418)"
1485136390,1485136399,0,34262450,,True,2,,secondary,50,False,76.479,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6446368 40.6418101, -8.6438707 40.6414425)"
1485136397,1594974854,0,694061066,,True,,,secondary,,False,6.722,,,roundabout,,"LINESTRING (-8.64613 40.6421492, -8.6461167 40.6422088)"
1485136398,1485136388,0,850328478,,True,2,,secondary,50,False,21.746,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6449388 40.6420338, -8.6451864 40.6420881)"
1485136399,1485136400,0,34262450,,True,2,,secondary,50,False,74.825,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6438707 40.6414425, -8.6431128 40.6410931)"
1485136400,3596981907,0,34262450,,True,2,,secondary,50,False,16.153,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6431128 40.6410931, -8.642941 40.641029)"
1485136401,1485136398,0,850328478,,True,2,,secondary,50,False,31.346,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6446049 40.6419102, -8.6449388 40.6420338)"
1485554456,1485136401,0,850328478,,True,2,,secondary,50,False,153.726,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6430666 40.6411694, -8.6446049 40.6419102)"
